group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
희두_나연,CoTSHE9u-rQ,"환승연애2🎀무심코 툭 던진 희두, 츤데레의 정석 (feat.나연 - 이거 범죄여~)",529889,4670,34,1.0,0.0,0.0,2022-08-30T07:52:42Z
희두_나연,1Dv_PLKlWD4,(SUB) 희두 나연 또 시작임 (positive) | 삿포로 다 이기는 국내 히든스팟❄️,469022,4516,292,0.6,0.0,0.4,2024-12-06T09:00:05Z
희두_나연,Puiissv4Dt8,그네만 있어도 잘 노는 희두X나연,449397,7541,28,0.8,0.0,0.2,2024-06-06T09:00:18Z
희두_나연,drubOIV2rEs,[환승연애2] 또 싸우는 희두 나연,445326,4397,91,0.0,0.8,0.2,2022-09-30T06:04:02Z
희두_나연,oYd5GoDOPeI,"(ENC CC) 나연의 반려견, 희두 만나면 00를 한다? | 나연 희두 인터뷰, 밤비, 설이, 에스콰이어",417133,6696,249,0.8,0.0,0.2,2022-12-30T06:00:12Z
희두_나연,86zoKiV2S_c,T희두 vs F나연이의 대화,409011,7107,137,0.6,0.2,0.2,2023-10-30T14:00:10Z
희두_나연,yZDiqyXlHcc,나연이가 기분 좋을 때 feat.희두 #일단이나연,383119,2557,16,0.5,0.25,0.25,2025-02-03T16:00:45Z
희두_나연,x2oNT4RtiHk,"환승연애 나연과 희두, 그리고 지금...? ❤️‍🩹 EP.475",374657,4213,66,0.75,0.25,0.0,2022-11-07T09:00:37Z
희두_나연,g99v4Ah4mhU,나연이랑 극한예능찍고 다시 악귀들린 희두,373540,1964,39,0.0,0.6,0.4,2024-09-07T04:58:19Z
희두_나연,Gf3Z1o8CE68,[환승연애2]희두나연 엔딩이 젤 조아🥰,372900,4249,224,0.6,0.0,0.4,2022-10-28T17:45:22Z
희두_나연,LeGRBPOz1Ag,#나연희두 #환승연애3 지원 영상ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ..이 아니라 | 왓츠인마이앱,361000,7636,232,0.5,0.25,0.25,2023-11-21T08:01:56Z
